# Export from PayGate legacy gateway, 21/03/2026. Dates are DD/MM/YYYY.
payment_id,order_id,paid_on,amount
P-5001,O-1001,01/03/2026,1999
P-5002,O-1002,03/03/2026,2500
P-5003,O-1002,05/03/2026,2500
P-5004,O-1003,02/04/2026,12000
P-5005,O-1004,04/03/2026,4999
P-5006,O-1005,06/03/2026,750
P-5007,O-1006,05/03/2026,2500
P-5008,O-1007,07/03/2026,3000
P-5009,O-1007,08/03/2026,3000
P-5010,O-1008,09/03/2026,4400
P-5011,O-1009,10/03/2026,1500
P-5011,O-1009,10/03/2026,1500
P-5012,O-9999,11/03/2026,1000
P-5013,O-1010,15/03/2026,6000
P-5014,O-1011,20/03/2026,1000
